File Path,LBA,File Size,Movie Flag
dir11\file30.bin,123246,114012,False
dir11\file31.bin,123302,380928,False
dir11\file32.bin,123488,40968,False
dir11\file33.bin,123509,112640,False
dir11\file34.bin,123564,114204,False
dir11\file35.bin,123620,395264,False
dir11\file36.bin,123813,10028,False
dir11\file37.bin,123818,108544,False
dir11\file38.bin,123871,36340,False
dir11\file39.bin,123889,385024,False
dir11\file40.bin,124077,15120,False
dir11\file41.bin,124085,182272,False
dir11\file42.bin,124174,43704,False
dir11\file43.bin,124196,262144,False
dir11\file44.bin,124324,136860,False
dir11\file45.bin,124391,280576,False
dir11\file46.bin,124528,110052,False
dir11\file47.bin,124582,256000,False
dir11\file48.bin,124707,96216,False
dir11\file49.bin,124754,276480,False
dir11\file50.bin,124889,28532,False
dir11\file51.bin,124903,354304,False
dir11\file52.bin,125076,50084,False
dir11\file53.bin,125101,354304,False
dir11\file54.bin,125274,31668,False
dir11\file55.bin,125290,63488,False
dir11\file56.bin,125321,70940,False
dir11\file57.bin,125356,278528,False
dir11\file58.bin,125492,25964,False
dir11\file59.bin,125505,169984,False
dir11\file60.bin,125588,68080,False
dir11\file61.bin,125622,131072,False
dir11\file62.bin,125686,45920,False
dir11\file63.bin,125709,169984,False
dir11\file64.bin,125792,45476,False
dir11\file65.bin,125815,206848,False
dir11\file66.bin,125916,30176,False
dir11\file67.bin,125931,108544,False
dir11\file68.bin,125984,39100,False
dir11\file69.bin,126004,135168,False
dir11\file70.bin,126070,172612,False
dir11\file71.bin,126155,485376,False
dir11\file72.bin,126392,41996,False
dir11\file73.bin,126413,102400,False
dir11\file74.bin,126463,52236,False
dir11\file75.bin,126489,147456,False
dir11\file76.bin,126561,59664,False
dir11\file77.bin,126591,98304,False
dir11\file78.bin,126639,15212,False
dir11\file79.bin,126647,503808,False
dir11\file80.bin,126893,86304,False
dir11\file81.bin,126936,206848,False
dir11\file82.bin,127037,3796,False
dir11\file83.bin,127039,26624,False
dir11\file84.bin,127052,10940,False
dir11\file85.bin,127058,32768,False
dir11\file86.bin,127074,45760,False
dir11\file87.bin,127097,141312,False
dir11\file88.bin,127166,49344,False
dir11\file89.bin,127191,225280,False
dir11\file90.bin,127301,71168,False
dir11\file91.bin,127336,225280,False
dir11\file92.bin,127446,153584,False
dir11\file93.bin,127521,206848,False
dir11\file94.bin,127622,107740,False
dir11\file95.bin,127675,280576,False
dir11\file96.bin,127812,111144,False
dir11\file97.bin,127867,51200,False
dir11\file98.bin,127892,104360,False
dir11\file99.bin,127943,172032,False
dir11\file100.bin,128027,145940,False
dir11\file101.bin,128099,88064,False
dir11\file102.bin,128142,162476,False
dir11\file103.bin,128222,192512,False
dir11\file104.bin,128316,161856,False
dir11\file105.bin,128396,165888,False
dir11\file106.bin,128477,95452,False
dir11\file107.bin,128524,51200,False
dir11\file108.bin,128549,58680,False
dir11\file109.bin,128578,112640,False
dir11\file110.bin,128633,62396,False
dir11\file111.bin,128664,319488,False
dir11\file112.bin,128820,20656,False
dir11\file113.bin,128831,71680,False
dir11\file114.bin,128866,38756,False
dir11\file115.bin,128885,233472,False
dir11\file116.bin,128999,64744,False
dir11\file117.bin,129031,206848,False
dir11\file118.bin,129132,87812,False
dir11\file119.bin,129175,485376,False
dir11\file120.bin,129412,58656,False
dir11\file121.bin,129441,210944,False
dir11\file122.bin,129544,49836,False
dir11\file123.bin,129569,256000,False
dir11\file124.bin,129694,28768,False
dir11\file125.bin,129709,176128,False
dir11\file126.bin,129795,55708,False
dir11\file127.bin,129823,81920,False
dir11\file128.bin,129863,165376,False
